text	target
[id636068667|Низа], ????????????????????????????	0
[id652812050|Андрей], да, обычное дело	0
[id685229480|Владимир], а что Вы предлагаете,есть план на изменение курса?	0
Символическая подготовка к преследованию инакомыслящих	0
[id493706993|Nella], что это – еще предстоит установить, но судя по всему постоянного состава нет ?? в Словакии это что-то одно, в Ланцет отправили что-то другое, в Аргентину – третье, а что россиянам колют – вообще не известно...	0
Жена клоуна сейчас с неграми е@ётс@, ей до фонаря украинцы.	1
как будто они не знают о чём думает Путин ????? есть маза они ему эти мысли и засовывают в башку.	0
[id1210379|Сергей], да. ФСС декретные выплаты тоже платит не выше определённой суммы. Странно конечно, как налоги платить, то всё взыскивают. И как наоборот отдавать- то фиг с маслом. ??	0
Очень сложно праздновать 14 февраля когда на дворе понедельник	0
[id555305850|Banana], ну негры же бывают белые)	0
[id569409622|Уинстон], сын шлюxи, пошёл нaxyй.)	1
[id526234962|Алексей], можно подумать вы не знаете имен создателей говномета в России? Соловьев, Киселев, Скарабеева... Продолжать?	0
[id379906006|Денис], на практике доказал эффективность и отсутствие осложнений	0
[id459745564|Иван], бот, давно ты с этого аккаунта не заходил	1
[id5786648|Sly], а потом Покуркин	0
а если бы автор напаинтил другие цифры в раше бы лучше бы стала	0
[id3161208|Андрей], как дела с кобельками, зоофил? Ты сделала выбор? Кто тебе больше понравился - алабай или дог?????	1
[id700960213|Аглая], хде  подписи?	0
Не знаю ни одного чела, который бы о нём что-то хорошее сказал. ?? Особенно после того, как врал, что потерпеть придётся неубранный мусор во дворах, чтобы начали вывозить куда положено. А оказалось, как всегда, втихаря до ближайшей промзоны вывозят, где уже все журналисты побывали, в Мурино на ул. Челябинской, 160 и лично убедились.	0
[id57537254|Дмитрий], без «допинга» НАШИМ  никак нельзя!!! Мы же не хотим , чтобы они стали ТАКИМИ. ????????????	0
Это уже явный намек на возможное вторжение, если танковая армия с полигонов на границу с Украиной перебрасывается?? Это не учения. Но как они будут воевать? В Чечне в Грозном за день 2(!) танковые бригады были сожжены в 90-х, а там не ополчение ждёт, а регулярная армия с более серьезным вооружением.??	0
"[id137763442|Михаил], ""буржуа"" — это средний класс, если что."	0
[id264863088|Илья], это можно считать твоим признанием? Ты это делаешь в отместку за аNal'ное угнетение тебя пригожиным?))	1
[id170969205|Валентин], ты допинг по внешнему виду научился определять?	0
Пункт четвертый надо поставить вместо пункта первого)	0
[id367212947|Безработный], теперь сказано.	0
[id10595970|Марина], это ещё мягко этого еврейского гопника назвали. При фашизме жидо-педерастов ФСБ криминальная жидо-персидская гопота совсем охамела	1
На сегодня главное чтоб знали ...можем и жахнуть ...и не мы это придумали	0
Просто футбол,а европейский называется сокер. Хватит путать. PS: Глоров в Ремс хаус прибавится...	0
Надеюсь что признают	0
[id546776326|Имя], Опять набор слов. Что тебе надо конкретно? Ты умеешь из слов предложения составлять?	1
[id4135040|Влад], но это ты писал про малые дозы и что ну и пусть юзала оно же не работало, что то  cas не признал допинг пробу фальшивкой, значит наверно было, курс не закончился? ??	0
[id454239703|Иван], теперь миром правит Сила, а не бумажные договоры. А Сила за Украиной, а не за вовой-банкротом с Брежневским металлоломом прошлого века.	0
[id5070849|Александр], нет, они закон Родченкова подтягивают, где важен только сам факт обнаружения и кто его дал...	0
[id483002399|Максим], ок, тогда по этому поводу  выпьешь в своей палате двойную порцию успокоительного	0
Заметили да первые бегут самые богатые и патриоты .	0
[id665269165|Сергей], не можешь придумать нормальный ответ, назови кремлеботом и ватой!) стратегическое мышление)	0
[id114773687|Александр], а ты типо когда слышишь новости как люди устали ждать помощи государства, просто сами на свои деньги свет себе на улицу подключили, двор обустроили, дорогу проложили или просто дыры ремонтировали.. ты типо не знаешь что после такого следует от рос. чиновников? В вашей стране, даже такое не дают самому норм сделать и тем более не говорю про бизнес где каждый кто имеет шанс на прибыль но не имеет крыши.. сразу жертва подонков прикрываемых властью. Так что заткнись и пошел отсюда.	1
[id50002883|Сергей], ха-ха-ха! Самозванец Лука и Северная Корея поддерживают? ООН признало действия России оккупацией чужой территории, нарушением международного права. Так что не пори куйню, малец.	0
Штош, пойду праздновать, влюблённых поздравлять	0
[id147169910|Антон], регби менее контактный и более замороченный на правила нежели гридирон	0
[id664517645|Игорь], маму твою пощупаем за сиси и пойдем возвращать подарки	1
[id39374483|Sergei], навальняцкий электорат - это сплошное хомячье, тупoe, инфантильное уeбищe?? ты тому подтверждение	1
[id619708832|Алёша], да, до 14-го года!	0
[id40295433|Сергей], а это нормально, когда суд сам едет к подсудимому в колонию?	0
К Чичваркину слетай)) с ним покувыркайся.. нашла проблему ??	0
[id31228107|Александр], откуда инфа, что кто-то кому-то там заносит?	0
[id101148|Василий], Я думаю там не в ЕдРе дело, а в чеченцах. Они мужчины, но не национальность Александра Закускина. Россия не для русских, Москва для извинений.	0
Путин ты клоун конченый	1
[id452831118|Александр], нужно. Только нужно делать нормальные вещи. А когда потребителям не оставят альтернатив, кроме сырых полуфабрикатов, сделанных наспех и продаваемых за конские деньги с целью распила бюджета - это не развитие, а деградация. Развитие будет, когда появится аналог сяоми или хуавэй по схожим характеристикам и ценой. В идеале - на российской ос.	0
У ЭТОГО ОНО ПРОИСХОДИТ РАСКОЛ МОЗГА	0
Как сказал один Российский Художник,что весь этот бардак воровской, можно пркекратить в миг!!!!, Сделать всех равными перед законом. Но паханату из дворцов и на фиг это не надо. просто не по понятиям!!!Тогда половина этого жулья перееедет в Магадан и на Колыму.А дворцы придется отдать снова детям и пенсионерам!!!	1
Есть ещё в России настоящие офицеры! Преподаватель МГИМО, МГЛУ и глава юридически не зарегистрированной организации «Общероссийское офицерское собрание» Ивашов опубликовал открытое письмо к Путину с требованием его отставки и соблюдения Конституцию РФ. В тексте также говорится об украинском кризисе, о том, чтобы граждане и военные запаса выступили против «пропаганды и развязывания войны», которая, по мнению авторов, носит «искусственный и корыстный характер для неких внутренних сил».	0
Не обращаем внимания) Лахтинские шавки на работу вышли ??	1
Вот достойная нашего внимания новость! https://echo.msk.ru/blog/echomsk/2976084-echo/?utm_campaign=main&utm_referrer=https%3A%2F%2Fpulse.mail.ru&utm_source=pulse_mail_ru	0
[id627266938|Евсей], и вас я тоже не звал. Вернитесь на прежний путь, и не сворачивайте. Тоже мне, поборник нравственности и морали с липовой страничкой. Брысь!	0
[id2685300|Максим], не убрали, а приостановили, не надейтесь, сейчас с кем надо урегулируют и продолжат	0
14 февраля - День Святого Маркетолога	0
[id499300358|Slava], дали уже по зубам mh17, а до этого российскому гражданскому борту. Украина сбивает исключительно мирных людей.	0
[id141584114|Aly], спасибо, и тебя!??	0
[id260224483|Ник], чо обиделся ватан? Как вы сразу прибедняться начинаете и отыскивать причины перевести в другое русло неудобную тему))	1
??	0
[id177805299|Валентин], полностью поддерживаю	0
[id5025046|Михаил], она приняла допинг, как доказанный факт и требует расправы...	0
[id88156794|Никита], у меня для тебя плохие новости...	0
[id677287631|Антон], на твои??	0
На Украине богачи выводят деньги и бегут на запад, в России же строят мосты и заводы, две страны соседки, а какая разница.	0
[id141205367|Marsel], Украинский край	0
[id75025304|Вася], щас бы заступаться за глиномесов	1
[id132536763|Никита], а наши просто очень честные. Принимают допинг, но болеть даже не пытаются.	0
[id26392363|Ольга], так вот не хрюкай, если из за таких как ты уродов нормальных людей лишат всех достижений мировых то не думай что для тебя это все хорошо кончится)))	1
[id172294571|Елена], это все куриные грудки и хорошая генетика.	0
[id340235946|Геннадий],	0
[id96081149|Николай], ты видел меня на помойках))))))) а что ты там делал?????	0
а Новый сингл рхчп!?	0
Ну до цвета кожи в фантастике рил только расисты могут докапываться, так что жрите эту повестку пока не образуметесь?	0
Официальное признание состоится в прямом эфире 30 февраля по каналу НТВ	0
Англосаксы выжмут все соки из этой ситуации. На кону - дело на 100 лимонов...??	0
А кто нибудь может сказать зачем вообще на Украину нападать? Какой выхлоп от этого?	0
зачем писать в банку если можно писать на листочке??? я не понял, жду бригаду??	0
[id619708832|Алёша], сфальсифицированое дело, политический заказ. Освободится	0
[id339088760|Семен], походу тебе самому нужно мыть свой рот хлоркой?? розвонялся слишком??????????	1
[id191335051|Валентин], *понеслась моча по трубам	0
[id1887043|Николай], это ДРУГООООООЕ	0
Моль уже приграла	0
А головы резать	0
Для Лождя это плохая новость.	0
Жанна - соска-бот... вернее соска-бахила:)	1
[id1404410|Алексей], так и в вашей рашке единственный вариант выжить это несоблюдение законов. По закону у вас будет как в КНДР.	1
[id26276977|Сергей], да я сам начал зубы делать и прифигел - удалить зуб сейчас целая история - такое ощущение что сейчас одна на всех болезнь ковид а все остальные не существуют	0
[id688762712|Murat], шикарные? Серьёзно?	0
А сколько из России за прошлый год уехало?	0
Ахахах. А куда 8 лет болтовни о признании особого статуса регионов?	0
[id412781965|Atowoam], нельзя недооценивать чужое слабоумие, особенно засидевшегося на троне старика...	0
[id1844916|Владимир], ну в данных документах этого нет .	0
[id85948775|Денис], hh.ru	0
"Насмешила, Навальный ""честный"" человек.??"	0
[id1208056|Максим], еще день не образованной школоты!я уже с десяток насчитал!	1
[id499300358|Slava], ПВО всегда должны быть в готовности	0
таких эффективных, что данные об эффектиности засекретили? ??	0
[id43213690|Андрей], обы нач какляцкая тактика - ставить следствие впереди причины	1
[id546776326|Имя], Опровергнуть что? Твой набор слов?	0
[id615337232|Владимир], но их сборные не отстранены. так ? так. значит у них нет проблем с допингом	0
Вполне себе в духе 90х новости, особенно третья.	0
[17568841_7712652| прости меня пожалуйста	0
[id40601976|Владимир], не благодари.	0
[id476769151|Анатолий], тут аксиома Эскобара, чел	0
"""Черту"" - к чёрту!"	0
[id640890552|Алексей], базиба, я андестенд) просто лайки собираю ??	0
[id245116690|Виталий], Договорнячок Байдена и Путина работает. Еще не много и киевский режим под давлением США выполнит Минские соглашения-2. И все будут довольны. Россия получит Украины и не расширение НАТО, а Байден обьявит себя миротворцем, тк помог прекратить третью мировую войну и реализовал Минские соглашения-2, что никто не смог сделать 8 лет до него. Все в плюсах, кроме бандер, которых  начнут сажать	0
Прикол вышел из-под контроля.  Мы не будем нападать на Украину. Мы ее сделаем Россией!	0
[id30639227|Родион], Если Украина не выполняет Минск 2 что делать?	0
Так их!	0
[id270484805|Александр], таких гораздо, в разы больше чем единицы?????	0
[id1070940|Pavel], Луль, я посмотрю на авиакомпании, которые решатся облетать Россию. Удачи им.	0
очередное закручивание гаек, всё для подавления личности	0
[id78378391|Михаил], ????? упущение киноделов)  Потому что черная бородатая стокилограммовая женщина отлично вписалась бы в  повесточку )	0
[id202727298|Андрей], выпей антибыдлин, невоспитанный соросёнок!) Мне тебя жаль.	1
[id14404398|Виктор], у нас вся власть, всё чиновники воры. Но в отличии от Навального ни кто не сидит.  У всех чиновников надо конфисковывать имущество и давать гектар на Северном полюсе.	0
разум восторжествовал, - дети вне подозрений!...))	0
Православие. Самодержавие. Народность. Позже:1905- 1917	0
У них че богатейшие люди в раде не сидят? Не скрепно	0
[id658179580|Сергей],	0
Битва была равна, бились два ДОСТОЙНЫХ СЫНА СВОЕГО ОТЕЧЕСТВА ПРИМЕРА ДЛЯ ПОДРАЖАНИЯ ГАРАНТОВ ГУМАННОСТИ ГРАЖДАНЕ ВЕЛИКОЙ СТРАНЫ!!!111	0
[id197393836|Иван], чё та несёшь дурачок?	1
[id634558825|Александр], росийская экономика в полном порядке , все западные банки это признают . куда хуже дела обстоят в украинской экономики	0
[id402171396|Mikhail], людям, не отличающим жанр фэнтези от жанра фантастики, слова не давали	0
[id410299385|Валодя], ну уж точно, не за 15-ть рублей лизать ж*пу плешимо ху*лу	1
[id695904995|Ярослав], никто вроде за тебеподобных и не заступался????	0
Юлечка ты молодец. Удачи тебе. И свободу Алексею.	0
Вот убогие, даже решения нормального принять не могут. Допустить, но не наградить... Супер!	1
???Совбез ООН созывает чрезвычайно-экстренное заседание в связи с не вторжением РФ ???	0
[id641294560|Александр], а можно пример, где его оправдывают?	0
Прикольно наблюдать как пидоргов бомбит от этой новости))	1
[id658179580|Сергей], да не нойте вы все!Я думаю,воевать с нами,если и найдется пара идиотов,то их будет ровно столько же,сколько у нас желающих воевать с украми...	0
Учитывая быстрый рост латиноамериканского населения США, через несколько поколений старый добрый ногомяч значительно потеснит американский футбол	0
[id461498232|Андрей], Давай поспорим, что не нападет? Слабо???????	0
[id706474757|Вера], сyчий бот, спутники подтвердили информацию о том, что трyпы лежали около трёх недель.	1
опять продвигают иноагенты пиндосовские ценности.	1
[id675792975|Ii],	0
Возникает всего лишь один вопрос, кому упал этот китайский цирк, под названием олимпиада?	0
[id287242533|Данил], ну я сначала тоже охренел	0
[id1887043|Николай], а почему Блейд и Ник Фьюри не могут быть белыми?	0
назад не пускайте .это главное	0
[id76298560|Максим], ну тогда Лёха не освободится ... он сидит по уголовной статье.	0
[id215862086|Валентин], ну, тащемта, тут как с сыном Лукашенко - она во взрослую херню (олимпиаду) полезла, так и спрос с тебя, как со взрослой, без поблажек.	0
И как она теперь выступать после такого стресса?	0
«Русская литература - крепкая региональная литература». Смешно.	0
А кто такой Навальный? Чё с ним все бегают с обеих сторон.	0
[id339758718|Антон], почему дотационных ? ДНР вполне сможет окупаться за счёт угля	0
[id190606532|Илья], Ещё как меняет !! Суть Вашего утверждения!!  Вы же поддерживали версию якобы Гаркалин подделал справки. Это - ложь! Я Вам на это мягко указал! Ваше дело упорствовать ,настаивая на том что Единственное верное мнение - Ваше, других быть не может. Очень жаль, мелкая ложь не позволяет доверять в дальнейшем.	0
Если воспринимать этот трейлер как фэнтези которое не относится к Властелину колец то неплохо)	0
[id657051218|Arlette-H], да не пиZди ты, пригожинский быдлоскот!..	1
[id704299748|Альберт], нет,она же не пынина жена,что бы в Лондоне жить	0
перо в задницу ,мне по барабану кто и как линяет с хохляндии что в советское время,что сейчас	1
[id107117263|Артём], одна закрытая анонимная страница верещит про другую закрытую страницу. Как мило. ??  Лично с твоей зарплаты будем часть денег отбирать в пользу бедных ЛНР/ДНР. ??	0
Один два три четыре пять началось	0
Нужно быть прежде всего против войны. Поэтому я за признание  ДНР и ЛНР Российской Федерацией. Это наконец положит всему этому конец. Кто против - тот сторонник войны.	0
[id220253019|Julja], а зачем?	0
Не спешите радоваться, расследование применения допинга ещё не было, могут забрать	0
[id493706993|Nella], не спорь с украинским канадцем, который голосует в России за Вову и ЕР.	0
[id533855183|Михаил], ничего.	0
[id18511367|Богдан], Трюдо ноль ... Пустое место .	0
[id14745887|Максим], «обтекаешь» пока только ты сам, имбецил с одной извилиной.	1
жаль, что 3.14здёжь, а так весело	0
Да, чтобы начать войну с Украиной. Не зря же Путин подтянул войска к границе.	0
[id49464409|Анатолий],	0
и чего. коли кто нить в свой гарем не приберёт, исчезнет через 2 года.	0
сейчас бы быть пиздострадальцем в 2к22	1
[id8890532|Дмитрий], ну, я вроде тебя в чс не добавил. Это ты у нас обиженка местная. А как ты определил, что я ватан? Или ты только чокать можешь, обрыган?:)	1
[id700768584|Евгений], просто бизнес	0
Ну что теперь? Чай не Максим.????? И вы все умрете, аки все г'ады и птахи умерают, хотя никто из вас не хочет подохнути при путенизме, но каждый думает пережить великого Путина. Да только не всем дано - аки работник морга я настаиваю на сём тезисе?	1
[id137962692|Михаил], вопрос был адресован не тебе. Ты влез.	0
[id186576757|Dmitry], вот cyка, даже поименно не называет погибших.	1
[id513484851|Viktoria], в какой книге? Это сериал как я понял с новым сценарием. Авторы сериала берут таких актеров, которых считают нужным.	0
[id461498232|Андрей], начинай со своей , раз ты извращенец . p.s. процесс по восстановлению уже не остановить .	1
[id52586203|Александр], любишь золотой дождь?)))	0
Раз два три четыре пять	0
Плохо. Владимир Владимирович давно говорил, что проблема  есть, и эту проблему надо решать.	0
[id658179580|Сергей], а его все ратифицировали, не напомните?	0
Допинг это плохо и нечестно! Осуждаю	0
Укро олигархи раздали чубатым деревянные кулемёты и полетели в Лондон, Москву и Израиль ??. Что то местных хохло-ботов маловато)) неужто тоже в Ростов к тетке переехали )))	1
Подскажите пожалуйста, я год назад отправляла валентинку человеку, когда она ему придёт? От лентача	0
Слушая в Германии комментарии на победы наших спортсменов (не Валиевой), постоянно задаю себе вопрос, а зачем это надо: в обстановке всеобщей ненависти и зависти на эти соревнования ездить? Нужно кому-то что-то доказывать? Доказывайте себе внутри страны. Ставьте и фиксируйте новые мировые рекорды. Будете знать, что Вы лучшие. Или нет	0
Хомячкам страдать в деле Майнкрафта в деле неопровержимые доказательства изготовления взрывчатки и нислова о мвйнкрафте????????	1
[id90788420|Алексей], а я от природы болтливый??	0
[id12801823|Костя], я так понимаю вы никогда живую женщину не видели)	0
[id16928554|Сергей], ??????	0
Победит весна)	0
Ставь лайк если тоже считаешь, что он должен представлять МИД РФ	0
Там пацану пять лет дали за компьютерную игру. По логике эту надо расстрелять.	0
[id121445121|Денис], пока что гаагский суд курю, но скоро он закончится.(	0
[id417163040|Sergei], таких единицы. В   России далеко не каждый обычным футболом интересуется, не то что американским. Большинство россиян про это соревнование никогда не слышали, да даже разузнать про него никогда не пытались. Есть куча других более интересных новостей, которые могут быть интереснее и полезнее для россиян	0
[id170969205|Valentin], как зовут этого транса?	1
Ладно негры... Модно молодёжно. Но где прекрасные волосы у эльфов? Неужели Феанор приходил к Галадриэль за обглодышами. Это вот у этой барышни лучшие волосы в Амане? Помыли хозяйственным мылом и заплели крысиную косичку. Предлагаю скинуться актрисе на хорошие шампуни и маски. Хотя они уже дело не спасут...	0
Своих что ли не нашлось…	0
Патриотизм в путинской роиси это кудахтать за патриотизм а жить в Лондоне.. а служить  отечеству это ногами бить стариков когда они выходят протестовать против того что их обворовывают..	0
Те, кто соглашается на позор, чтобы избежать войны, получают и позор, и войну. (Черчилль)	0
А в чем прикол?   Больничный же оплачивается меньше, чем рабочие дни   В деньгах потеряешь	0
[id105502652|Илья], не, за твоего папку непойду воевать??	0
Что же Дождь не слова не сказал о митинге в Харькове, против закрытия канала НАШ, что же все леберальные СМИ как по команде рты прикрыли. Где ваше вой о свободе слова?	0
[id114773687|Александр], До 14 точно лучше и доллар ниже и цены. Более того, не было этого бельма на глазу с оккупацией части Украины.	0
путин слушал Красную плесень, когда в питерской подворотне получал образование ... сейчас просто вырвалось из подсознания ... это такой абрвалг .. ??	0
Аххахаххахх)))) Е*ать ?????? Ну это бунт	0
"[id100193333|Art?rs], есть такая интересная штучка ""скрыть друзей"", не слышал наверно в силу возраста, но не суть. Ты кста за минуту свой коммент трижды отредачил, так взбесился что-ли?"	1
"Вот за такую "" откровенность"" и получил по "" самое не могу""!??"	0
[id539731187|Против], ясно все с вами	0
неужели одумались?	0
Путин тоже отвечал на вопросы Дождя, получается тоже иноагент?	0
"[id950912|Taras], а что не так? Русский быканул на чеченскую бабку, а потом обосрался от одного ""Салам алейкум"""	0
[id134361413|Наталия], да ладно!не, тут порнуха про геев получиться!	0
[id32109422|Диман], всех это кого?) Вы понимаете что всему миру плевать на СНГ?	0
А какие у них проблемы и почему вы решили,что они не решают их? Норвегия например не зависит от нефти, все деньги вкладывает в другое. Люди там не голодают и не нищенствуют.	0
Нормально так Беглов отомстил петербуржцам за выборы.	0
[id13834433|Ренат], снимешь пожалуйсто на камеру свой танец?	0
https://www.youtube.com/watch?v=zY2wGPp8v-g	0
Как гриться, влип очкарик	1
[id664336069|Лол-И], вы перепутали....скорее обе страны соотносятся к первой части вашего высказывания	0
Какая разница какого цвета актеры в говне этом снимутся?	1
[id10722607|Ильдар], а так хорошо начиналось, мы просто хотим автономиии кококо. джавелины сказали, которые навелись на твой дом	0
[id631193852|Андрей], да.	0
[id685229480|Владимир], в России разве говорят, что Украина нападает?	0
Так в принципе более менее все понятно-дб из бункера нагнут, конфискуют у шоблы приближенной недвиги и счета, вопрос уже прямо стоит, когда безумный старик ботоксный уйдет.	1
[id2301338|Кирилл], есть видос, как колонна ВСУ заезжает в город - там натурально гражданские каждые 10-15 метров по обе стороны дороги лежат. В некоторых местах между зданиями со связанными руками за спиной. Где-то в массовых могилах - руки-ноги, головы торчат. ВК удаляет видосы, они все +18. В Телеграмме нужно смотреть. И явно не в пророссийских. В пророссийских сейчас форсят десять раз сжатое видео в шакальем качестве с артефактами на видеоряде, где «наезжающие» на трупы плямы и царапины на стекле в машине оператора создают эффект шевеления и выдают этот видос за «доказательство постановочных кадров». Почему они не рассматривают такое доказательство в 4K или хотя 1080 качестве - непонятно. Вернее - понятно.  Pycня официально опустилась до уровня мясников при геноциде в Руанде.	1
[id157184976|Дмитрий], Да не будет никакого нападения. Войдёт ограниченный контингент и встанет по линии разграничения между Донецком и украишкой. Тем самым прекратив всякие попытки бандеровских головорезов убивать простых жителей Донецка и Луганска. Давно это нужно было сделать. Жаль затянули.	1
[id12801823|Костя], да, появляются, но во-первых не у всех, это от генетики зависит, во вторых, заметить их можно только если человек активно использует мимику и ты будешь стоять к нему нос к носу. Так что причем тут лесть, если изменения между 15 и 30 не существенны? И вы в равной степени почти наверняка не угадаете, сколько лет человеку в этом промежутке. Особенно по фото	0
[id232269|Artem], весьма	0
[id247179055|Иван], по-моему, она на 15-16 максиму и выглядит. Тем более, если убрать косметику. В 30 лет женщины выглядят совершенно по-другому	0
[id4933335|Валерия], 30-летние как минимум морщинистые уже, если неботоксные)	0
вот так... у ватников никогда такой любви к Родине не будет!	1
[id698330513|Muammar-Muhammad], ну, нынешний министр обороны РФ, по пьяни обряженный Ельциным в погоны, еврейский папуас Шойгу, повязан с жидо-цыганами США пролитой в октябре 1993 года кровью, когда жидо-проститутка в погонах из КПСС вооружила еврейских сторонников Ельцина, так что всё согласуют .	1
[id307054678|Виктор], ну волнуется и волнуется. Что в этом плохого?	0
[id107117263|Артём], Артёму Изотову стыдно быть русским в интернете, потому что он украинец.	0
[id680822766|Александр], а сколько ВПК РФ тратит,расскажите?	0
Сегодня читал статью вирусолога из США с русской фамилией, а сейчас историк. Теперь понятно почему в России хотят умы с Запада переманить, там просто все свои)	0
Интересно только, чего раньше ждать, фашизм или анархию? И исключает ли одно другое?	0
да весь мир и сам должен понимать - над буками летать не нужно, мало ли...	0
[id659653741|Иваныч], не завидуй	0
[id100193333|Art?rs], а ты научился только открывать рот и сразу же в чс кидать, дружочек?	0
[id119541577|Анна], я и не утверждаю, что театрал до мозга костей. Но так, представление имею.	0
[id3986424|Антон], буржуазия средний класс? ?????	0
[id631142250|Жанна], ваши несбыточные мечты так умилительны.	0
"[id607580468|Andrew], О, как.. Гнида бандеровская .А что же санкции против него не вводят?  Секретарь СНБО бывшей вна вукрайны Алексей Данилов по кличке ""Мячик"" имеет паспорт ЛНР .  Ярый противник народных республик Донбасса был вынужден оформить паспорт ЛНР.  Секретарь Совета национальной безопасности и обороны (СНБО) бывшей вна вукраины Алексей Данилов в 2018 году получил паспорт Луганской Народной Республики. Фото документа опубликованы в луганских пабликах ВКонтакте.  По словам Марианны Василевской, возглавлявшей в 2018 году Ленинское районное отделение миграционной службы города Луганска МВД ЛНР, паспорт ЛНР Данилову потребовался, чтобы легально продать свою квартиру в Луганске.  Вопрос был решён после благотворительного взноса в размере двух тысяч долларов, который будущий секретарь СНБО бывшей вна вукраины заплатил в фонд МВД ЛНР.  Ранее сообщалось, что Данилов бросил свою 89-летнюю мать в Луганске. Она живёт на пенсию ЛНР и получает материальную помощь от журналиста Анатолия Шария."	1
Фото с места событий	0
Мало геммороя?! Чем бы не тешились, лишь бы внутренние проблемы не решать!	0
[id651819614|Сергей], лучше бы они с собственными проблемами разобрались, вместо того, чтоб решать кто там сырьевой придаток, а кто нет.   P.S. Не надо орать про кремлеботов и 15 рублей. Нашего правительства это тоже касается.	0
[id496882193|Александр], ого	0
Хай пляшет, медали и позже можно отнять	0
Независимость от кукухи у них уже 8 лет	0
Я чет не понимаю. Какой бл*ть смысл нападать РФ на Украину когда об этом говорят уже из каждого угюга? Тогда, в 2014 настолько сильно не говорили о вторжении РФ. Но сейчас об этом даже Байден заявил.	0
Так было же 15 число сказано их газетенками или самими, уже не раз, какие же они там больные все	1
[id483002399|Максим], да не, в среде людей мало образованных, надо называть вещи своими именами.  Для того, чтоб знать Калягина, Райкина, Миронова, Богомолова, не надо быть театралом.	0
[id1844916|Владимир], растёт не от санкций? Шо?	0
